time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
0.0,9841.0,0,0.9
1.06,9841.0,0,0.9
2.11,9841.0,0,0.9
3.18,9841.0,0,0.9
4.27,9841.0,0,0.9
7.01,9841.0,0,0.9
8.08,9841.0,0,0.9
9.19,9841.0,0,0.9
10.31,9841.0,0,0.9
11.41,9841.0,0,0.9
14.11,10282.0,441.0,0.9
15.2,10392.0,551.0,0.9
16.28,10392.0,551.0,0.9
17.38,10392.0,551.0,0.9
18.57,10392.0,551.0,0.9
21.24,10392.0,551.0,0.9
22.32,10392.0,551.0,0.9
23.44,10392.0,551.0,0.9
24.52,10972.0,1131.0,0.9
25.69,11044.0,1203.0,0.9
28.09,11044.0,1203.0,0.9
29.2,11044.0,1203.0,0.9
30.28,11044.0,1203.0,0.9
31.39,11046.0,1205.0,0.9
32.45,11046.0,1205.0,0.9
35.63,11046.0,1205.0,0.9
36.72,11046.0,1205.0,0.9
37.85,11046.0,1205.0,0.9
38.94,11046.0,1205.0,0.9
40.06,11046.0,1205.0,0.9
42.23,11046.0,1205.0,0.9
43.34,11046.0,1205.0,0.9
44.44,11046.0,1205.0,0.9
45.51,11046.0,1205.0,0.9
46.6,11046.0,1205.0,0.9
47.69,11046.0,1205.0,0.9
50.05,11046.0,1205.0,0.9
51.16,11046.0,1205.0,0.9
52.27,11066.0,1225.0,0.9
53.38,11066.0,1225.0,0.9
54.5,11066.0,1225.0,0.9
56.38,11066.0,1225.0,0.9
57.49,11066.0,1225.0,0.9
58.62,11066.0,1225.0,0.9
59.72,11066.0,1225.0,0.9
60.8,11066.0,1225.0,0.9
61.92,11066.0,1225.0,0.9
63.26,11066.0,1225.0,0.9
64.35,11066.0,1225.0,0.9
65.46,11066.0,1225.0,0.9
66.57,11066.0,1225.0,0.9
67.64,11068.0,1227.0,0.9
68.73,11068.0,1227.0,0.9
71.36,11068.0,1227.0,0.9
72.51,11068.0,1227.0,0.9
73.65,11090.0,1249.0,0.9
74.74,11090.0,1249.0,0.9
75.89,11090.0,1249.0,0.9
77.8,11090.0,1249.0,0.9
78.91,11090.0,1249.0,0.9
80.01,11114.0,1273.0,0.9
81.1,11114.0,1273.0,0.9
82.2,11134.0,1293.0,0.9
83.27,11188.0,1347.0,0.9
85.87,11278.0,1437.0,0.9
87.02,11278.0,1437.0,0.9
88.16,11278.0,1437.0,0.9
89.28,11278.0,1437.0,0.9
90.42,11282.0,1441.0,0.9
92.96,11308.0,1467.0,0.9
94.06,11308.0,1467.0,0.9
95.21,11308.0,1467.0,0.9
96.3,11310.0,1469.0,0.9
97.41,11316.0,1475.0,0.9
99.31,11316.0,1475.0,0.9
100.43,11316.0,1475.0,0.9
101.49,11324.0,1483.0,0.9
102.62,11324.0,1483.0,0.9
103.7,11324.0,1483.0,0.9
104.81,11332.0,1491.0,0.9
107.09,11332.0,1491.0,0.9
108.16,11332.0,1491.0,0.9
