time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
0.0,1.0,0,0.9
1.07,1.0,0,0.9
2.12,1.0,0,0.9
3.19,4.0,3.0,0.9
4.26,4.0,3.0,0.9
5.32,4.0,3.0,0.9
6.39,4.0,3.0,0.9
7.51,4.0,3.0,0.9
8.62,4.0,3.0,0.9
9.7,4.0,3.0,0.9
10.8,4.0,3.0,0.9
11.91,495.0,494.0,0.9
12.99,495.0,494.0,0.9
14.04,495.0,494.0,0.9
15.08,495.0,494.0,0.9
16.14,495.0,494.0,0.9
17.22,495.0,494.0,0.9
18.27,495.0,494.0,0.9
19.31,495.0,494.0,0.9
20.41,495.0,494.0,0.9
21.49,495.0,494.0,0.9
22.61,495.0,494.0,0.9
23.71,512.0,511.0,0.9
24.84,1001.0,1000.0,0.9
25.94,2547.0,2546.0,0.9
27.05,2547.0,2546.0,0.9
28.11,2547.0,2546.0,0.9
29.21,2547.0,2546.0,0.9
30.28,2547.0,2546.0,0.9
31.42,2547.0,2546.0,0.9
32.55,2547.0,2546.0,0.9
33.67,2547.0,2546.0,0.9
34.77,2547.0,2546.0,0.9
35.9,2547.0,2546.0,0.9
36.95,2564.0,2563.0,0.9
38.08,2967.0,2966.0,0.9
39.23,2967.0,2966.0,0.9
40.36,2967.0,2966.0,0.9
41.42,2967.0,2966.0,0.9
42.47,2967.0,2966.0,0.9
43.55,2967.0,2966.0,0.9
44.66,2967.0,2966.0,0.9
45.72,2967.0,2966.0,0.9
46.8,2967.0,2966.0,0.9
47.88,2967.0,2966.0,0.9
49.01,3386.0,3385.0,0.9
50.1,3544.0,3543.0,0.9
51.18,3644.0,3643.0,0.9
52.24,3766.0,3765.0,0.9
53.34,3766.0,3765.0,0.9
54.4,3766.0,3765.0,0.9
55.45,3766.0,3765.0,0.9
56.5,3766.0,3765.0,0.9
57.59,3766.0,3765.0,0.9
58.7,3766.0,3765.0,0.9
59.79,3766.0,3765.0,0.9
60.93,3766.0,3765.0,0.9
62.06,3766.0,3765.0,0.9
63.21,3766.0,3765.0,0.9
64.34,3766.0,3765.0,0.9
65.45,3766.0,3765.0,0.9
66.52,3766.0,3765.0,0.9
67.61,3766.0,3765.0,0.9
68.65,3766.0,3765.0,0.9
69.74,3766.0,3765.0,0.9
70.79,3766.0,3765.0,0.9
71.95,4410.0,4409.0,0.9
73.06,4410.0,4409.0,0.9
74.13,4410.0,4409.0,0.9
75.19,4410.0,4409.0,0.9
76.34,4410.0,4409.0,0.9
77.45,4410.0,4409.0,0.9
78.57,4410.0,4409.0,0.9
79.63,4410.0,4409.0,0.9
80.75,4410.0,4409.0,0.9
81.82,4410.0,4409.0,0.9
82.86,4410.0,4409.0,0.9
83.94,4410.0,4409.0,0.9
85.0,4410.0,4409.0,0.9
86.08,4410.0,4409.0,0.9
87.17,4410.0,4409.0,0.9
88.27,4410.0,4409.0,0.9
89.31,4410.0,4409.0,0.9
90.38,4410.0,4409.0,0.9
91.48,4410.0,4409.0,0.9
92.58,4410.0,4409.0,0.9
93.68,4410.0,4409.0,0.9
94.78,4410.0,4409.0,0.9
95.85,4410.0,4409.0,0.9
96.92,4410.0,4409.0,0.9
98.01,4410.0,4409.0,0.9
99.15,4410.0,4409.0,0.9
100.27,4410.0,4409.0,0.9
101.33,4410.0,4409.0,0.9
102.45,4410.0,4409.0,0.9
103.55,4410.0,4409.0,0.9
104.67,4410.0,4409.0,0.9
105.78,4410.0,4409.0,0.9
106.92,4410.0,4409.0,0.9
107.99,4410.0,4409.0,0.9
109.06,4410.0,4409.0,0.9
110.16,4410.0,4409.0,0.9
111.25,4410.0,4409.0,0.9
112.37,4410.0,4409.0,0.9
113.48,4410.0,4409.0,0.9
114.57,4410.0,4409.0,0.9
115.69,4410.0,4409.0,0.9
116.78,4410.0,4409.0,0.9
117.91,4410.0,4409.0,0.9
119.01,4410.0,4409.0,0.9
120.09,4410.0,4409.0,0.9
121.17,4410.0,4409.0,0.9
122.23,4410.0,4409.0,0.9
123.33,4410.0,4409.0,0.9
124.4,4410.0,4409.0,0.9
125.48,4410.0,4409.0,0.9
126.58,4410.0,4409.0,0.9
127.61,4410.0,4409.0,0.9
128.71,4410.0,4409.0,0.9
129.79,4410.0,4409.0,0.9
130.88,4410.0,4409.0,0.9
131.95,4410.0,4409.0,0.9
133.09,4410.0,4409.0,0.9
134.21,4410.0,4409.0,0.9
135.3,4410.0,4409.0,0.9
136.38,4410.0,4409.0,0.9
137.48,4410.0,4409.0,0.9
138.59,4410.0,4409.0,0.9
139.65,4410.0,4409.0,0.9
140.76,4410.0,4409.0,0.9
141.84,4410.0,4409.0,0.9
142.92,4410.0,4409.0,0.9
144.06,4410.0,4409.0,0.9
145.17,4410.0,4409.0,0.9
146.28,4410.0,4409.0,0.9
147.32,4410.0,4409.0,0.9
148.41,4414.0,4413.0,0.9
149.58,4416.0,4415.0,0.9
150.74,4420.0,4419.0,0.9
151.81,4424.0,4423.0,0.9
153.01,4432.0,4431.0,0.9
154.12,4432.0,4431.0,0.9
155.23,4432.0,4431.0,0.9
156.3,3694.0,3693.0,0.9
157.38,3694.0,3693.0,0.9
158.45,3694.0,3693.0,0.9
159.59,3694.0,3693.0,0.9
160.67,3694.0,3693.0,0.9
161.74,3694.0,3693.0,0.9
162.81,3694.0,3693.0,0.9
163.91,3694.0,3693.0,0.9
164.99,3694.0,3693.0,0.9
166.03,3711.0,3710.0,0.9
167.16,4258.0,4257.0,0.9
168.21,4316.0,4315.0,0.9
169.29,4316.0,4315.0,0.9
170.33,4316.0,4315.0,0.9
171.4,4316.0,4315.0,0.9
172.5,4316.0,4315.0,0.9
173.56,4316.0,4315.0,0.9
174.68,5000.0,4999.0,0.9
175.75,5000.0,4999.0,0.9
176.83,5000.0,4999.0,0.9
177.94,5000.0,4999.0,0.9
179.03,5000.0,4999.0,0.9
180.16,5000.0,4999.0,0.9
181.26,5000.0,4999.0,0.9
182.35,5000.0,4999.0,0.9
183.42,5002.0,5001.0,0.9
184.57,5002.0,5001.0,0.9
185.63,5002.0,5001.0,0.9
186.69,5002.0,5001.0,0.9
187.74,4238.0,4237.0,0.9
188.83,4640.0,4639.0,0.9
189.92,4640.0,4639.0,0.9
191.02,4414.0,4413.0,0.9
192.08,4484.0,4483.0,0.9
193.18,4484.0,4483.0,0.9
194.27,4484.0,4483.0,0.9
195.36,4484.0,4483.0,0.9
196.41,4484.0,4483.0,0.9
197.48,4484.0,4483.0,0.9
198.61,5150.0,5149.0,0.9
199.72,5150.0,5149.0,0.9
200.81,5150.0,5149.0,0.9
201.92,5150.0,5149.0,0.9
203.03,5150.0,5149.0,0.9
204.09,5150.0,5149.0,0.9
205.22,5150.0,5149.0,0.9
206.32,5150.0,5149.0,0.9
207.46,5150.0,5149.0,0.9
208.52,5150.0,5149.0,0.9
209.56,5150.0,5149.0,0.9
210.67,5150.0,5149.0,0.9
211.75,4628.0,4627.0,0.9
212.85,4404.0,4403.0,0.9
213.94,4484.0,4483.0,0.9
215.06,4484.0,4483.0,0.9
216.2,4484.0,4483.0,0.9
217.33,4484.0,4483.0,0.9
218.41,4484.0,4483.0,0.9
219.47,4484.0,4483.0,0.9
220.57,4484.0,4483.0,0.9
221.73,5150.0,5149.0,0.9
222.81,5150.0,5149.0,0.9
223.85,5150.0,5149.0,0.9
224.93,5150.0,5149.0,0.9
226.03,5152.0,5151.0,0.9
227.2,5152.0,5151.0,0.9
228.33,5152.0,5151.0,0.9
229.39,5152.0,5151.0,0.9
230.45,5152.0,5151.0,0.9
231.51,5152.0,5151.0,0.9
232.63,5152.0,5151.0,0.9
233.72,5152.0,5151.0,0.9
234.83,5152.0,5151.0,0.9
235.87,4648.0,4647.0,0.9
236.94,4436.0,4435.0,0.9
238.11,4514.0,4513.0,0.9
239.25,4514.0,4513.0,0.9
240.33,4514.0,4513.0,0.9
241.48,4514.0,4513.0,0.9
242.6,4514.0,4513.0,0.9
243.73,4514.0,4513.0,0.9
244.8,4514.0,4513.0,0.9
245.87,5174.0,5173.0,0.9
246.99,5176.0,5175.0,0.9
248.09,5176.0,5175.0,0.9
249.21,5176.0,5175.0,0.9
250.29,5176.0,5175.0,0.9
251.39,5176.0,5175.0,0.9
252.48,5176.0,5175.0,0.9
253.55,5176.0,5175.0,0.9
254.66,5176.0,5175.0,0.9
255.74,5176.0,5175.0,0.9
256.83,5176.0,5175.0,0.9
257.9,5176.0,5175.0,0.9
259.02,5176.0,5175.0,0.9
260.1,4668.0,4667.0,0.9
261.22,4668.0,4667.0,0.9
262.31,4512.0,4511.0,0.9
263.4,4512.0,4511.0,0.9
264.44,4512.0,4511.0,0.9
265.54,4512.0,4511.0,0.9
266.57,4512.0,4511.0,0.9
267.59,4512.0,4511.0,0.9
268.67,5172.0,5171.0,0.9
269.78,5172.0,5171.0,0.9
270.86,5172.0,5171.0,0.9
271.94,5172.0,5171.0,0.9
273.0,5174.0,5173.0,0.9
274.03,5174.0,5173.0,0.9
275.13,5174.0,5173.0,0.9
276.21,5174.0,5173.0,0.9
277.25,5174.0,5173.0,0.9
278.28,5174.0,5173.0,0.9
279.33,5174.0,5173.0,0.9
280.37,5174.0,5173.0,0.9
281.42,4434.0,4433.0,0.9
282.49,4668.0,4667.0,0.9
283.56,4454.0,4453.0,0.9
284.63,4510.0,4509.0,0.9
285.7,4512.0,4511.0,0.9
286.77,4512.0,4511.0,0.9
287.82,4512.0,4511.0,0.9
288.85,4512.0,4511.0,0.9
289.89,4512.0,4511.0,0.9
290.93,4512.0,4511.0,0.9
292.07,5170.0,5169.0,0.9
293.14,5170.0,5169.0,0.9
294.25,5172.0,5171.0,0.9
295.41,5172.0,5171.0,0.9
296.51,5172.0,5171.0,0.9
297.6,5172.0,5171.0,0.9
298.66,5172.0,5171.0,0.9
299.71,5172.0,5171.0,0.9
300.77,5172.0,5171.0,0.9
301.82,5172.0,5171.0,0.9
302.86,5172.0,5171.0,0.9
303.94,5172.0,5171.0,0.9
304.99,5172.0,5171.0,0.9
306.05,4668.0,4667.0,0.9
307.15,4668.0,4667.0,0.9
308.19,4454.0,4453.0,0.9
309.27,4512.0,4511.0,0.9
310.36,4512.0,4511.0,0.9
311.45,4512.0,4511.0,0.9
312.51,4512.0,4511.0,0.9
313.6,4512.0,4511.0,0.9
314.7,4512.0,4511.0,0.9
315.79,4884.0,4883.0,0.9
316.91,5170.0,5169.0,0.9
317.99,5170.0,5169.0,0.9
319.1,5170.0,5169.0,0.9
320.19,5170.0,5169.0,0.9
321.22,5170.0,5169.0,0.9
322.3,5170.0,5169.0,0.9
323.46,5170.0,5169.0,0.9
324.51,5170.0,5169.0,0.9
325.57,5172.0,5171.0,0.9
326.62,5172.0,5171.0,0.9
327.73,5172.0,5171.0,0.9
328.86,5172.0,5171.0,0.9
329.96,5172.0,5171.0,0.9
331.02,4668.0,4667.0,0.9
332.13,4456.0,4455.0,0.9
333.26,4512.0,4511.0,0.9
334.31,4514.0,4513.0,0.9
335.38,4514.0,4513.0,0.9
336.46,4514.0,4513.0,0.9
337.55,4514.0,4513.0,0.9
338.69,4514.0,4513.0,0.9
339.82,4514.0,4513.0,0.9
340.93,5160.0,5159.0,0.9
342.01,5160.0,5159.0,0.9
343.08,5160.0,5159.0,0.9
344.15,5162.0,5161.0,0.9
345.22,5162.0,5161.0,0.9
346.31,5162.0,5161.0,0.9
347.4,5162.0,5161.0,0.9
348.51,5162.0,5161.0,0.9
349.58,5162.0,5161.0,0.9
350.67,5162.0,5161.0,0.9
351.71,5162.0,5161.0,0.9
352.77,5162.0,5161.0,0.9
353.86,5162.0,5161.0,0.9
354.92,4436.0,4435.0,0.9
356.02,4668.0,4667.0,0.9
